Modèle,RMSE,MAE,R² Score
Régression Linéaire,26.162608047461266,21.757959026083466,0.9603579610473452
Random Forest,1.9811889473291062,1.0176238025139202,0.9997726757813397
XGBoost,1.0545069159522888,0.7211275863333938,0.9999355989751065
Ridge,26.162600408445304,21.75807200411524,0.9603579841968817
Lasso,26.162576136770106,21.756707812148054,0.9603580577505553
Decision Tree,7.773565398272306,4.238457518006669,0.9965002709110713
SARIMAX,0.18061097642310472,0.1502737000435727,
